,text,label,n_tokens
0,"Bukas na ang mga presinto, tara na tayong bumoto para sa kinabukasan ng ating bansa! #Halalan2022 #ParaSaBayan",0,43
1,"Para sa tunay na pagbabago, bumoto tayo ng matino at may malasakit sa ating bayan! #Halalan2022 #KayaNatin",0,45
2,"Sa tingin ko, malinis at patas ang halalan ngayon, sobrang organized ng mga volunteers at PPCRV para masiguro na walang dayaan #Halalan2022",0,46
3,"Sa araw ng eleksyon, ipaglalaban natin ang karapatan ng bawat Pilipino para sa isang malinis at matuwid na gobyerno! Halina't iboto ang karapat-dapat! #Boto2022",0,62
4,"For our future, bumoto tayo ng tapat! Proud na bumoto ako kay Leni Robredo dahil sa kanyang malinaw na plataporma para sa ekonomiya at edukasyon.",0,50
5,"Tumindig tayo kasama ng ating pamilya para sa maayos at malinis na halalan, at sa pagbabalik ng tiwala sa gobyerno! IpanaloNa10To",0,52
6,Ang boto ko ibinigay ko sa taong may malinis na track record at may tunay na malasakit sa bayan - sa Mayo ipapanalo natin ito! #Halalan2022,0,51
7,Kung karapat-dapat si Leni diba dapat siya nalang yung bumoto para sa sarili niya? Hindi namn magnanakaw yon kaya mas maganda iwanan nlang natin sya tapos tayo totoong leader ang piliin,0,63
8,"Tumindig na para sa pagbabago! Sa susunod na eleksyon, bumoto ng malinis at matino para sa kinabukasan ng Pilipinas! #Halalan2022",0,50
9,"Sa debate performance ni @LeniRobredo sa SMNI, napatunayan niya ang husay at galing ng isang lider na may malasakit sa bayan! #LeniKiko2022 #LabanLeni",0,58
10,Sana sa darating na eleksyon makaboto tayo ng pinuno na tapat at maaasahan para sa ikakaunlad ng bansa!,0,40
11,"Kahit paulit ulit niyo i-trend yang survey niyo, kay Leni pa rin ang boto ng taumbayan! Tiwala lang at laban lang, ipanalo natin 'to! 💗",0,56
12,"Sa lahat ng ginagawa natin, dapat isipin muna natin yung ikabubuti ng ating bansa bago tayo bumoto sa darating na halalan! MagingMatalino2022",0,53
13,"Sa May 9, ipapanalo na natin ang eleksyon, dahil sa maayos at tapat na pamumuno ng mga tamang lider magiging maayos ang ating pilipinas!",0,52
14,"Sa rally ni VP Leni dito sa Batangas, grabe ang dami talaga ng tao at ang init ng pagtanggap sa kanya #LetLeniLead2022",0,49
15,"Sa totoo lang ang ganda ng plataporma ni VP Leni, ang tapat at may tunay na solusyon para umangat ang buhay ng bawat Pilipino! KakampinkForLeni",0,55
16,Sa susunod na eleksyon dapat piliin natin ang kandidatong may malinis na track record at tunay na hangarin para sa bayan! Tumindig para sa katotohanan,0,47
17,Nagpapasalamat ako sa lahat ng mga botante na nag-iisip at lumalaban para sa tapat na pamamahala - ipanalo natin ito!,0,47
18,"Mas radikal ang magmahal kaya kahit anong pangbabash nyo sa kandidato namin, hindi tayo papatol at magpapakalma lang. #Halalan2022",0,49
19,"Marami tayong dapat gawin para sa bansa natin, kaya tayo bumoto ng matino at malinis na kandidato para sa kinabukasan ng ating mga anak #Halalan2022",0,51
20,Wag kalimutan bumoto ng tama para sa kinabukasan nating lahat! Halalan2024 #PhilippineElections,0,38
21,"Tara na mga kababayan, sali kayo sa rally sa sabado! Dala kayo ng tubig at payong, pink na t-shirt optional. Pilipinas para sa Pilipino! #Halalan2022",0,58
22,"Sa election natin ngayon, dapat pumili tayo ng kandidatong may malasakit sa bayan at handang maglingkod ng tapat para sa ating kinabukasan.",0,47
23,"Sa mga kapwa ko Pilipino, naniniwala ako na kaya nating bumangon sa ating bayan kung tayo ay magkakaisa at iboboto ang mga karapat-dapat na lider ngayong eleksyon.",0,59
24,"Mula sa pagtitipon natin kahapon, napatunayan kong tunay ang pagmamahal ng taumbayan at handang ipaglaban ang kandidatong magtataguyod ng tapat na gobyerno! Maraming salamat sa inyong pakikinig! #Halalan2022",0,77
25,"Dumating na sya sa Naga at sumalubong sa kanya ang maraming tao, kitang kita mo yung pagmamahal nila sa isang matinong kandidato na handang maglingkod.",0,56
26,Sana magkaroon tayo ng malinis at maayos na eleksyon para sa kinabukasan ng ating bansa! #Halalan2022,0,40
27,"Para sa mga botante diyan, pumunta po tayo bukas sa ating mga presinto para bumoto at gamitin ang ating karapatang sibil para sa kinabukasan ng ating bansa!",0,52
28,Laban lang po para sa bayan! #PinkMovement Kaya natin ito mga kakampink at ipanalo natin ang kulay rosas! 🌸💖,0,47
29,Ang ganda ng platform ni Leni kasi talagang nais niyang tulungan ang bawat Pilipino sa pamamagitan ng maayos na pamamahala at serbisyo publiko. RosasLead2022,0,62
30,Gutom ako pero sulit ang kakahintay at pakikinig sa grand rally. Nakakainspire ang mga nagbigay ng patotoo! Leni Kiko All The Way!,0,51
31,Marami salamat sa lahat ng mga volunteers at sa mga tao sa rally! Sana mapakita natin ang tunay na puso ng kabataan sa halalan.,0,44
32,"Ang sarap sa pakiramdam na makita ang dami ng mga tao sa rally ni VP Leni, nakakaiyak sa tuwa! #HandogNiLeniParaSaLahat",0,52
33,"Sabi ko na nga ba, pagkatapos ng eleksyon magiging maginhawa ang buhay nating lahat dahil kay VP Leni at Sen. Kiko! Let Leni Lead!",0,53
34,"Naglalakad tayo ngayon sa EDSA people power para sa katotohanan at demokrasya, salamat po sa lahat ng sumama! #Halalan2022",0,48
35,"Sana sa susunod na eleksyon ay mas may pag-asa ang mga mahihirap nating kababayan, kailangan natin ng lider na may malasakit at hindi corrupt.",0,52
36,"May respeto tayo sa mga ibang manok, pero sa akin po si VP Leni talaga ang karapat dapat maging pangulo ng bansa natin dahil sa kanyang track record at malasakit.",0,53
37,Sa Mayo 9 boboto ako kay Leni dahil malinis ang track record at tapat ang hangarin para sa bayan! #IpanaloNa10To,0,42
38,Sana manalo ang boto ng bayan at magkaroon ng tunay na pagbabago sa ating bansa. Ipanalo natin ang gobyernong tapat! 🌸,0,49
39,"Nakakatuwa yung mga volunteers na nagbabahay-bahay para ipaliwanag ang plataporma ni VP Leni, proud na proud ako sa inyo! Tara na, ipanalo natin 'to! #LetLeniLead",0,67
40,"Sana yung mga matatalo sa election bukas, tanggapin nalang ng mahinahon at ipagdasal ang mga mananalo para sa kapakanan ng bansa.",0,47
41,Salamat po sa lahat ng supporters natin na dumalo sa rally. Masaya ako na marami tayong magkakaisa para sa pagbabago! ImeeForSenate,0,46
42,"Boto tayo nang tama para sa kinabukasan ng ating bayan, malinis at tapat na kampanya ang sagot sa tunay na pagbabago.",0,43
43,Natutuwa ako sa mga kabataan ngayon na aktibo sa pagboto at handang lumaban para sa kinabukasan ng ating bansa.,0,41
44,"Para sa ating kinabukasan, boboto ako ng tama at gagawin ko ang makakabuti sa bayan! Maka-Diyos at makatarungang gobyerno ang kailangan natin. #Halalan2022",0,61
45,"Ating suportahan si Leni sa pagbabago at kinabukasan ng ating bansa sa darating na halalan, kasama ang buong Pilipinas! #LabanLeni",0,50
46,Eto na nga talaga ang tunay na halalan! Dito ako kay VP Leni dahil mas mapagkakatiwalaan at kapakipakinabang ang kanyang plataporma para sa lahat ng Pilipino. KakampinkForever,0,66
47,"Malinis ang pinangako natin sa bayan, kaya tayo kumilos na at bumoto ng mga kandidatong marangal at may paninindigan para sa ating lahat!",0,48
48,Sasama ako sa rally ng VP Leni dahil naniniwala ako na kailangan natin ng malinis na pamumuno para sa bansa! 🌸,0,43
49,"Proud na nakatulong ako sa Leni RobredoKiko Pangilinan Grand Rally sa Pasay, napanood ko talaga lahat at mahigit 400k tayo! IpanaloNa10To",0,58
50,"Sana lahat ng kandidato ay tapat sa bayan at sa mga pangako nila, kaya dapat tayong mga Pilipino ay bumoto ng may puso para sa kinabukasan ng Pilipinas.",0,54
51,"Para sa kinabukasan ng ating bayan, kailangan natin ng matino at malinis na eleksyon na walang dayaan at may integridad upang mapabuti ang buhay ng mga Pilipino.",0,56
52,Masaya kong ibinoto si Leni dahil malinis ang kanyang track record at nakikita ko ang tunay na pagmamahal niya sa bayan.,0,42
53,Sana manalo si VP Leni dahil kita naman sa track record nya na may magandang plano sya para sa kinabukasan ng ating bansa! Let Leni Lead,0,49
54,"Mga kababayan, nagsasalita po ako bilang isang ordinaryong Pilipino - ipakita natin ang tunay na diwa ng demokrasya sa darating na halalan.",0,51
55,"Sa mga Pilipino, bumoto nang matino para sa kinabukasan ng ating bansa! Kailangan natin ng may malinis na track record at may kakayahang mamuno. #PHVote2022",0,56
