text,label
Binay: Patuloy ang kahirapan dahil sa maling pamamahala [USERNAME],0
SA GOBYERNONG TAPAT WELCOME SA BAGUO ANG LAHAT! Kulay Rosas Ang Bukas Let Leni Kiko Lead Let Leni Lead panalo Natin Para Sa Lahat : [USERNAME],0
wait so ur telling me Let Leni Lead mo pero NYONG UYAB BBM SUPPORTER?!??!!!????? to me thats like dating a trump supporter. fuck no bye,1
 [USERNAME]wish this is just a nightmare that could end. Ma Pa we failed again. let leni lead never again kakampink Sa Gobyernong Tapat Angat Buhay Lahat,0
doc willie ong and isko sabunutan po,0
Jeonghan said Let Leni Lead!! Lenihae ahahhdjfj,0
[USERNAME] [USERNAME]and[USERNAME] Hahahhahaha SMNIpresidentialdebateLeni Mas Duwag,1
[USERNAME] Attendees of the CNNPHVPDebate are Walden Bello Rizalito David Manny SD Lopez Doc Willie Ong Kiko Pangilinan Carlos Serapio and Tito Sotto.| via[USERNAME]PTVElection TV,0
Abscbn News Hoaxnews ng abias cbend baklas poster ng mmda walang pinakita na tinatangal ang poster ni mar roxas whaaahhh biased talaga,1
NEWS UPDATE: The camp of VP Leni Robredo says it 'appreciates' the apology of ex-DND Sec. Norberto Gonzales for calling her to withdraw from the presidential race but says 'an apology is unnecessary.'[USERNAME],0
"""Roxas Robredo"" shows up as trending topic in Philippines at rank 10.",0
Ay di kinaya kahit hakot na? Anebeyen?? Tanglaw Laguna RallyAngat Buhay LahatLeni Kiko All The Way,0
Nakakabwiset yung Ad ni Binay pucha,1
AN INTELLIGENT YOLANDA SURVIVOR WILL NOT VOTE MAR ROXAS FOR PRESIDENT! AND I AM ONE OF THEM. I WILL NOT VOTE FOR HIM!,1
Kakilabot! Aaahhh! Let Leni Lead,0
Jake EjercitoSandro MarcosSeb DutertePaolo Roxas. Who said Politics is a dirty thing? And then there's Junjun Binay. ha ha,1
Busy masyado si binay sa pag batikos sa gobyerno at sa mga TVCs nya nalimutan nya na atang maging responsable. Sorry Not Sorry,1
[USERNAME] Di magawang makapag Caravan kase nakaway lng sa hangin so pineke nlng yung Rally sa Pampanga Is PinkO ayan nilagyan ko na ng sibuyas ng ma experience nyo namanGobyernong Tapat Angat Buhay Lahat Angat Buhay Lahatlutang kamo,0
